"OOP java","This is course about OOP. One of the most important concept In programing.",40
Math,"Introduction to basic algebra.",1
Math,"Exploring geometry fundamentals.",2
Math,"Understanding fractions and decimals.",3
Math,"Introduction to trigonometry.",4
Math,"Learning about statistics and probability.",5
Math,"Exploring advanced calculus concepts.",6
Math,"Understanding matrix operations.",7
Math,"Learning about differential equations.",8
Math,"Exploring real-world applications of mathematics.",9
